medinc,GEOID
84819,06025011201
23244,06025011202
44211,06025011300
31322,06025011400
30028,06025011500
41767,06025011600
48292,06025011700
98561,06025011801
51920,06025011802
100816,06025011803
50725,06025011900
19461,06025012001
59583,06025012002
22161,06025012100
34902,06025012200
50208,06025012301
29773,06025012302
28676,06025012400
23462,06025940000
55703,06027000100
77721,06027000200
93750,06027000300
42339,06027000400
52454,06027000500
40150,06027000800
55267,06029000101
41250,06029000102
28803,06029000200
31365,06029000300
20389,06029000400
112539,06029000503
36779,06029000504
80781,06029000505
62417,06029000506
69516,06029000507
26684,06029000600
53739,06029000700
54337,06029000800
43333,06029000902
46296,06029000903
52007,06029000904
65048,06029000905
51935,06029000906
48824,06029000907
59877,06029000908
98750,06029000909
68113,06029000910
61333,06029001000
34015,06029001101
38471,06029001102
31213,06029001103
35172,06029001201
22625,06029001202
22429,06029001300
25371,06029001400
25647,06029001500
26991,06029001600
65718,06029001700
49447,06029001801
59508,06029001802
43904,06029001901
34226,06029001902
27347,06029002000
26508,06029002100
20652,06029002200
39358,06029002301
34857,06029002302
42518,06029002400
30737,06029002500
33672,06029002600
35863,06029002700
51045,06029002804
66066,06029002806
100469,06029002807
107641,06029002808
124659,06029002811
35710,06029002812
37585,06029002813
35433,06029002814
46283,06029002815
48018,06029002816
39118,06029002817
77063,06029002818
69265,06029002819
85091,06029002820
79519,06029002821
39832,06029002900
34119,06029003000
39625,06029003103
41841,06029003112
47632,06029003113
60125,06029003114
38137,06029003115
40036,06029003121
47594,06029003122
85121,06029003123
76314,06029003124
55642,06029003202
85833,06029003203
115412,06029003204
70208,06029003205
75996,06029003206
35556,06029003303
61667,06029003304
33929,06029003305
53162,06029003306
35078,06029003400
52558,06029003500
37700,06029003600
41225,06029003700
126842,06029003803
96802,06029003804
97763,06029003805
110507,06029003806
86719,06029003807
84007,06029003808
103259,06029003809
129286,06029003810
76140,06029003811
72361,06029003812
110000,06029003813
83000,06029003900
51568,06029004000
47500,06029004101
26698,06029004102
42452,06029004200
43136,06029004301
NA,06029004302
43134,06029004401
26250,06029004402
35734,06029004500
NA,06029004601
NA,06029004603
54004,06029004604
35610,06029004701
31182,06029004702
29152,06029004800
35018,06029004901
52035,06029004902
42569,06029005003
53879,06029005004
52344,06029005103
94958,06029005104
33171,06029005201
38101,06029005203
35022,06029005204
32000,06029005300
64792,06029005401
75491,06029005402
63685,06029005403
65521,06029005404
69767,06029005501
69232,06029005506
50424,06029005507
43837,06029005508
48011,06029005600
75027,06029005700
84667,06029005801
41488,06029005802
23300,06029005900
NA,06029006002
52804,06029006003
40938,06029006004
85980,06029006006
61745,06029006007
79279,06029006008
49038,06029006100
37432,06029006201
53379,06029006202
39861,06029006301
35639,06029006303
31250,06029006304
40446,06029006401
41445,06029006403
29347,06029006404
36218,06029006500
94628,06031000100
48636,06031000200
52650,06031000300
76784,06031000402
58529,06031000403
65326,06031000404
42854,06031000405
50559,06031000500
98575,06031000601
81451,06031000602
79106,06031000701
66464,06031000702
37820,06031000800
36944,06031000900
70044,06031001001
45793,06031001002
46733,06031001003
33676,06031001100
55804,06031001200
30726,06031001300
38125,06031001401
35625,06031001402
42683,06031001500
41331,06031001601
NA,06031001602
41097,06031001701
NA,06031981800
41538,06033000100
46029,06033000300
45323,06033000400
33344,06033000501
43813,06033000502
44137,06033000600
28077,06033000701
30661,06033000702
24350,06033000801
34938,06033000802
52585,06033000900
49774,06033001000
63875,06033001100
44095,06033001200
59745,06033001300
42212,06035040100
53000,06035040200
72870,06035040302
43109,06035040303
32448,06035040304
62768,06035040305
55275,06035040400
89583,06035040500
51051,06035040600
53077,06037101110
88953,06037101122
32119,06037101210
41728,06037101220
86914,06037101300
71125,06037101400
76333,06037102103
70754,06037102104
52132,06037102105
106037,06037102107
89211,06037103101
74631,06037103102
71346,06037103200
93207,06037103300
81618,06037103400
86989,06037104103
52616,06037104105
50259,06037104108
84250,06037104124
51563,06037104201
46406,06037104203
63333,06037104204
69904,06037104310
52895,06037104320
69965,06037104401
55398,06037104403
55341,06037104404
60139,06037104500
60320,06037104610
62014,06037104620
32036,06037104701
39181,06037104703
48581,06037104704
74145,06037104810
68750,06037104821
55500,06037104822
71806,06037106010
75038,06037106020
93198,06037106111
90875,06037106112
85156,06037106113
54363,06037106114
62015,06037106403
57807,06037106405
77454,06037106406
37452,06037106407
49464,06037106408
91983,06037106510
63594,06037106520
114688,06037106603
58028,06037106604
108333,06037106641
106179,06037106642
151875,06037106643
110946,06037106645
105750,06037106646
65278,06037106648
82841,06037106649
56375,06037107010
81935,06037107020
141893,06037108101
95592,06037108102
159643,06037108103
130714,06037108104
125000,06037108201
108304,06037108202
59792,06037109100
112250,06037109200
84919,06037109300
77273,06037109400
44118,06037109500
92545,06037109601
53750,06037109603
88000,06037109604
98605,06037109700
96422,06037109800
86683,06037111100
85034,06037111201
80521,06037111202
150192,06037111204
76968,06037111205
114861,06037111206
68456,06037111301
66850,06037111302
59875,06037111400
105781,06037113101
138333,06037113102
93009,06037113211
79009,06037113212
84274,06037113213
105208,06037113231
112105,06037113232
47500,06037113233
56375,06037113234
88750,06037113235
82821,06037113237
66500,06037113301
83971,06037113303
68904,06037113321
93795,06037113322
84923,06037113401
61228,06037113421
74262,06037113422
138750,06037115101
41818,06037115103
51094,06037115104
63768,06037115201
61202,06037115202
94615,06037115301
46544,06037115302
61483,06037115401
52500,06037115403
63659,06037115404
79005,06037117101
62643,06037117102
55750,06037117201
79464,06037117202
95391,06037117301
95303,06037117302
81517,06037117303
85448,06037117404
36582,06037117405
28512,06037117407
34630,06037117408
42432,06037117510
37375,06037117520
51875,06037117530
76932,06037119001
79846,06037119002
74012,06037119201
64196,06037119202
47049,06037119310
63375,06037119320
29891,06037119340
47778,06037119341
52083,06037119342
81711,06037119400
79986,06037119700
74906,06037119800
